procesador_frecuencia_turbo_max_ghz,procesador_numero_nucleos,disco_duro_capacidad_de_memoria_ssd_gb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,procesador,procesador_tipo,grafica_tarjeta,ram_tipo,sistema_operativo_sistema_operativo,alimentacion_wattage_binned
4.7,12.0,1000.0,32.0,3200.0,Apple M2 Max,Apple M,Apple M2 Max GPU,DDR4,macOS Ventura,High_Power (501-850W)
4.7,10.0,1000.0,16.0,3200.0,Intel Core i5-14400,Core i5,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.2,6.0,1000.0,16.0,3200.0,AMD Ryzen 5 3600,Ryzen 5,NVIDIA GeForce RTX 3060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.1,16.0,512.0,16.0,4800.0,Intel Core i7-13700,Core i7,NVIDIA Quadro T1000,DDR5,Microsoft Windows 11 Professional,Medium_Power (201-500W)
4.8,12.0,1000.0,16.0,3200.0,AMD Ryzen 9 5900X,Ryzen 9,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Home,High_Power (501-850W)
5.2,16.0,1000.0,16.0,3200.0,Intel Core i7-13700F,Core i7,NVIDIA GeForce RTX 3060 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.8,12.0,512.0,16.0,4800.0,Intel Core i5-13500,Core i5,Intel UHD Graphics 770,DDR5,Microsoft Windows 11 Professional,Medium_Power (201-500W)
5.2,8.0,2000.0,64.0,3200.0,AMD Ryzen 7 9800X3D,Ryzen 7,AMD Radeon RX 7900 GRE,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.8,14.0,1000.0,16.0,3200.0,Intel Core i7-1370PE,Core i7,Intel Iris Xe Graphics,DDR4,ninguno,Low_Power (0-200W)
4.9,8.0,1000.0,16.0,3200.0,Intel Core i7-11700F,Core i7,NVIDIA GeForce RTX 3050,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
3.4,4.0,500.0,16.0,3200.0,Intel N95,Intel N,Intel UHD Graphics,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,10.0,512.0,16.0,2400.0,Intel Core i5-14400F,Core i5,NVIDIA GeForce RTX 4060,DDR4,FreeDOS,Medium_Power (201-500W)
5.0,12.0,1000.0,32.0,4000.0,Intel Core i7-12700K,Core i7,NVIDIA GeForce RTX 3080,DDR5,Microsoft Windows 11 Home,High_Power (501-850W)
4.9,12.0,1000.0,32.0,3200.0,Intel Core i7-12700F,Core i7,NVIDIA GeForce RTX 4070,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
5.6,20.0,1000.0,64.0,3200.0,Intel Core i7-14700KF,Core i7,NVIDIA GeForce RTX 4070,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics 630,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.0,8.0,1000.0,32.0,3200.0,Intel Core i9-11900F,Core i9,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,14.0,1000.0,16.0,3200.0,Intel Core i7-12700H,Core i7,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.9,8.0,1000.0,16.0,3200.0,Intel Core i7-11700F,Core i7,NVIDIA GeForce GTX 1650,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.1,6.0,480.0,16.0,3200.0,AMD Ryzen 5 4500,Ryzen 5,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.0,12.0,1000.0,16.0,3200.0,Intel Core i7-12700K,Core i7,NVIDIA GeForce RTX 3070,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.5,14.0,1000.0,16.0,3200.0,Intel Core Ultra 5 125H,Intel Core Ultra 5,Intel Arc Graphics,DDR5,ninguno,Low_Power (0-200W)
4.7,4.0,1000.0,16.0,3200.0,Intel Core i7-1165G7,Core i7,Intel UHD Graphics 770,DDR4,Microsoft Windows 10 Professional,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Ryzen 5,AMD Radeon Graphics,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,256.0,8.0,3200.0,Intel Core i5-10505,Core i5,Intel UHD Graphics 630,DDR4,Microsoft Windows 10 Professional,High_Power (501-850W)
4.4,6.0,512.0,8.0,3200.0,Intel Core i5-12400,Core i5,Intel UHD Graphics 730,DDR4,Microsoft Windows 11 Home,Low_Power (0-200W)
4.6,10.0,512.0,16.0,3200.0,Intel Core i5-13400F,Core i5,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Home,High_Power (501-850W)
4.0,4.0,480.0,8.0,3200.0,AMD Ryzen 3 3200G,Ryzen 3,AMD Radeon RX Vega 8,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.4,6.0,512.0,16.0,3200.0,Intel Core i5-12500T,Core i5,Intel UHD Graphics,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.4,6.0,512.0,16.0,3200.0,AMD Ryzen 5 5600G,Ryzen 5,NVIDIA GeForce RTX 3050,DDR4,Microsoft Windows 11 Home,Medium_Power (201-500W)
4.1,6.0,1000.0,32.0,3200.0,AMD Ryzen 5 4500,Ryzen 5,NVIDIA GeForce RTX 3060,DDR4,Microsoft Windows 11 Home,High_Power (501-850W)
4.9,12.0,1000.0,32.0,4800.0,Inter Core i7-12700,Core i7,NVIDIA GeForce RTX 3070,DDR5,Microsoft Windows 10 Professional,High_Power (501-850W)
4.4,6.0,1000.0,32.0,3200.0,Intel Core i5-12400F,Core i5,NVIDIA GeForce RTX 3060,DDR4,FreeDOS,High_Power (501-850W)
3.9,4.0,1000.0,16.0,3200.0,Intel Core i5-8265U,Core i5,Intel UHD Graphics 620,DDR4,ninguno,Low_Power (0-200W)
5.6,20.0,1000.0,32.0,4800.0,Intel Core i7-14700K,Core i7,NVIDIA RTX A4000,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
4.4,6.0,500.0,8.0,3200.0,Intel Core i5-12400,Core i5,Intel UHD Graphics 730,DDR4,Microsoft Windows 11 Professional,Medium_Power (201-500W)
4.7,8.0,512.0,16.0,4800.0,Intel Core i7-13700T,Core i7,Intel UHD Graphics 770,DDR5,Microsoft Windows 11 Professional,Low_Power (0-200W)
5.2,16.0,1000.0,16.0,3200.0,Intel Core i7-13700F,Core i7,NVIDIA GeForce RTX 3070,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,6.0,256.0,8.0,3200.0,Intel Core i5-10500T,Core i5,Intel UHD Graphics 630,DDR4,Microsoft Windows 10 Professional,High_Power (501-850W)
4.4,6.0,1000.0,16.0,3200.0,Intel Core i5-12400F,Core i5,NVIDIA GeForce RTX 4060 Ti,DDR4,ninguno,High_Power (501-850W)
5.0,12.0,2000.0,32.0,3200.0,Intel Core i7-12700KF,Core i7,NVIDIA GeForce GT 1030,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.2,16.0,1000.0,16.0,3200.0,Intel Core i7-13700F,Core i7,NVIDIA GeForce RTX 3070 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Ryzen 3,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,2000.0,16.0,3200.0,Intel Core i5-14400F,Core i5,AMD Radeon RX 6600,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.4,16.0,1000.0,32.0,4800.0,Intel Core i7-13700KF,Core i7,NVIDIA GeForce RTX 4070 Ti,DDR5,Microsoft Windows 11 Home,High_Power (501-850W)
4.8,8.0,500.0,32.0,2666.0,Intel Core i7-10700F,Core i7,NVIDIA GeForce GTX 1650,DDR4,ninguno,High_Power (501-850W)
5.2,16.0,1000.0,32.0,3200.0,Intel Core i7-13700F,Core i7,NVIDIA GeForce RTX 4070,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.4,8.0,2000.0,32.0,3200.0,AMD Ryzen 7 7700X,Ryzen 7,NVIDIA GeForce RTX 4060 Ti,DDR4,ninguno,High_Power (501-850W)
4.8,8.0,512.0,16.0,2666.0,Intel Core i7-10700,Core i7,Intel UHD Graphics 630,DDR4,Microsoft Windows 10 Professional,High_Power (501-850W)
5.2,16.0,1000.0,16.0,3200.0,Intel Core i7-13700F,Core i7,NVIDIA GeForce RTX 3070,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.0,8.0,1000.0,32.0,3200.0,Intel Core i9-11900F,Core i9,NVIDIA GeForce RTX 4060 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,500.0,16.0,3200.0,Intel Core i7-1260P,Core i7,Intel Iris Xe Graphics,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,256.0,12.0,4800.0,Intel N100,Intel Celeron,Intel UHD Graphics,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,4.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.6,12.0,2000.0,32.0,3200.0,AMD Ryzen 9 7900X,Ryzen 9,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.3,6.0,500.0,16.0,3200.0,Intel Core i5-10400,Core i5,Intel HD Graphics 630,DDR4,Microsoft Windows 11 Professional,Medium_Power (201-500W)
3.9,8.0,1000.0,32.0,3200.0,Unknown,Core i7,Intel UHD Graphics 770,DDR3,Microsoft Windows 11 Professional,Medium_Power (201-500W)
5.8,24.0,1000.0,32.0,3200.0,Intel Core i9-13900KF,Core i9,NVIDIA GeForce RTX 4070,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,10.0,1000.0,16.0,3200.0,Intel Core i5-1235U,Core i5,Intel UHD Graphics 770,DDR4,ninguno,Low_Power (0-200W)
1.92,4.0,64.0,4.0,3200.0,Intel Atom x5-Z8350,Atom,Intel HD Graphics,DDR3L,Microsoft Windows 10 Professional,High_Power (501-850W)
5.8,24.0,1000.0,32.0,3200.0,Intel Core i9-13900KF,Core i9,NVIDIA GeForce RTX 3060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.3,6.0,1000.0,16.0,3200.0,Intel Core i5-10400,Core i5,NVIDIA GeForce GT 1030,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.2,6.0,480.0,32.0,3200.0,AMD Ryzen 5 3600,Ryzen 5,NVIDIA GeForce RTX 3060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.6,10.0,512.0,8.0,3200.0,Intel Core i5-13400,Core i5,Intel UHD Graphics 730,DDR4,Microsoft Windows 11 Home,Low_Power (0-200W)
4.7,8.0,1000.0,16.0,3200.0,AMD Ryzen 5 5500,Ryzen 5,NVIDIA GeForce RTX 3060,DDR4,Microsoft Windows 11 Home,High_Power (501-850W)
4.8,12.0,256.0,8.0,3200.0,Intel Core i5-13500,Core i5,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.4,6.0,1000.0,16.0,3200.0,Intel Core i5-12400F,Core i5,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.0,10.0,512.0,8.0,5600.0,Intel Core 5 120U,Intel Core 5,Intel Graphics,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
4.6,8.0,1000.0,32.0,3200.0,AMD Ryzen 7 5700G,Ryzen 7,AMD Radeon RX Vega 8,DDR4,Microsoft Windows 10 Professional,High_Power (501-850W)
5.1,16.0,512.0,16.0,5200.0,Intel Core i7-13700F,Core i7,NVIDIA GeForce RTX 4060 Ti,DDR5,FreeDOS,High_Power (501-850W)
5.0,8.0,1000.0,32.0,3200.0,Intel Core i9-11900F,Core i9,NVIDIA GeForce RTX 4060 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.6,8.0,2000.0,32.0,3200.0,AMD Ryzen 7 5700X,Ryzen 7,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.9,12.0,1000.0,16.0,3200.0,Inter Core i7-12700,Core i7,Intel UHD Graphics 770,DDR4,ninguno,High_Power (501-850W)
4.8,14.0,256.0,8.0,4800.0,Intel Core i5-13500,Core i5,Intel UHD Graphics 770,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
5.1,8.0,2000.0,32.0,3200.0,AMD Ryzen 7 8700G,Ryzen 7,AMD Radeon RX 7800 XT,DDR4,ninguno,High_Power (501-850W)
4.2,6.0,500.0,16.0,3200.0,AMD Ryzen 5 5500,Ryzen 5,AMD Radeon RX 6600,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.9,12.0,1000.0,32.0,3200.0,Intel Core i7-12700F,Core i7,NVIDIA GeForce RTX 3070,DDR4,Microsoft Windows 11 Home,Medium_Power (201-500W)
5.4,20.0,1000.0,32.0,4800.0,Intel Core i7-14700,Core i7,NVIDIA T1000,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Intel Core i5-1250P,Core i5,Intel Iris Xe Graphics,DDR4,ninguno,High_Power (501-850W)
5.4,20.0,1000.0,16.0,5200.0,Intel Core i7-14700F,Core i7,NVIDIA GeForce RTX 4070 Ti Super,DDR5,Microsoft Windows 11 Home,High_Power (501-850W)
5.4,16.0,1000.0,32.0,3200.0,Intel Core i7-13700KF,Core i7,NVIDIA GeForce RTX 4070,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.2,16.0,1000.0,16.0,3200.0,Intel Core i7-13700F,Core i7,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.0,14.0,1000.0,32.0,4800.0,Intel Core i5-14500,Core i5,Intel UHD Graphics 770,DDR5,Microsoft Windows 11 Professional,Medium_Power (201-500W)
5.4,8.0,2000.0,32.0,3200.0,AMD Ryzen 7 7700X,Ryzen 7,NVIDIA GeForce RTX 4070 Super,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.3,6.0,1000.0,16.0,3200.0,Intel Core i5-10400,Core i5,NVIDIA GeForce RTX 3050,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.5,4.0,256.0,8.0,3200.0,Intel Core i3-13100,Core i3,Intel UHD Graphics 730,DDR4,Microsoft Windows 11 Professional,Low_Power (0-200W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.0,14.0,512.0,16.0,4800.0,Intel Core i5-14500,Core i5,Intel UHD Graphics 770,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
5.6,12.0,2000.0,32.0,3200.0,AMD Ryzen 9 7900X,Ryzen 9,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Intel Celeron 7305,Intel Celeron,Intel UHD Graphics,DDR5,ninguno,Low_Power (0-200W)
4.4,6.0,256.0,8.0,2666.0,Intel Core i5-9500,Core i5,Intel UHD Graphics 630,DDR4,Microsoft Windows 10 Professional,High_Power (501-850W)
5.8,24.0,512.0,32.0,3200.0,Intel Core i9-13900K,Core i9,Intel UHD Graphics 770,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
4.0,4.0,500.0,8.0,3200.0,AMD Ryzen 3 3200G,Ryzen 3,AMD Radeon RX Vega 8,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,32.0,5600.0,Intel Core i9-13900,Core i9,NVIDIA RTX A2000,DDR5,Microsoft Windows 11 Professional,Medium_Power (201-500W)
4.8,12.0,1024.0,32.0,3200.0,AMD Ryzen 9 5900X,Ryzen 9,NVIDIA GeForce RTX 3060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.4,6.0,256.0,8.0,3200.0,Intel Core i5-12500T,Core i5,Intel UHD Graphics,DDR4,Microsoft Windows 11 Professional,Low_Power (0-200W)
3.4,4.0,1000.0,16.0,4800.0,Intel N100,Intel N,Intel UHD Graphics,DDR5,Microsoft Windows 11 Professional,Low_Power (0-200W)
4.6,10.0,1000.0,32.0,3200.0,Intel Core i5-13400F,Core i5,NVIDIA GeForce RTX 4070,DDR4,FreeDOS,High_Power (501-850W)
5.0,8.0,2000.0,32.0,3200.0,AMD Ryzen 7 7800X3D,Ryzen 7,NVIDIA GeForce RTX 4070,DDR4,ninguno,High_Power (501-850W)
4.9,12.0,1000.0,32.0,3200.0,Intel Core i7-12700F,Core i7,NVIDIA GeForce RTX 4060,DDR4,ninguno,High_Power (501-850W)
4.1,6.0,1000.0,16.0,3200.0,AMD Ryzen 5 4500,Ryzen 5,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,512.0,8.0,3200.0,Intel Core i5-10505,Core i5,Intel UHD Graphics 630,DDR4,Microsoft Windows 10 Professional,High_Power (501-850W)
4.8,12.0,1000.0,64.0,3200.0,AMD Ryzen 9 5900X,Ryzen 9,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,3000.0,16.0,3200.0,Unknown,Unknown,NVIDIA GeForce RTX 3080,DDR4,FreeDOS,High_Power (501-850W)
5.0,12.0,2000.0,32.0,3200.0,Intel Core i7-12700K,Core i7,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.5,6.0,1000.0,16.0,3200.0,Intel Core i3-1315U,Core i3,Intel Iris Xe Graphics,DDR4,Microsoft Windows 11 Professional,Low_Power (0-200W)
4.6,10.0,1000.0,32.0,3200.0,Intel Core i5-13400F,Core i5,NVIDIA GeForce GTX 1650,DDR4,FreeDOS,High_Power (501-850W)
5.6,20.0,1000.0,32.0,4800.0,Intel Core i7-14700K,Core i7,NVIDIA RTX 2000 Ada,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
4.9,12.0,1000.0,16.0,3200.0,Inter Core i7-12700,Core i7,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.6,8.0,256.0,16.0,3200.0,Intel Core i5-13420H,Core i5,Intel UHD Graphics,DDR4,Microsoft Windows 11 Professional,Low_Power (0-200W)
5.0,12.0,2000.0,32.0,3200.0,Intel Core i7-12700KF,Core i7,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.3,8.0,2000.0,32.0,3200.0,AMD Ryzen 7 7700,Ryzen 7,NVIDIA GeForce RTX 4060 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.1,6.0,1000.0,16.0,3200.0,AMD Ryzen 5 4500,Ryzen 5,NVIDIA GeForce RTX 4060 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.9,8.0,1000.0,16.0,3200.0,Intel Core i7-11700F,Core i7,NVIDIA GeForce GTX 1650,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.0,8.0,1000.0,32.0,3200.0,Intel Core i9-11900F,Core i9,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics 770,DDR4,Microsoft Windows 10 Professional,High_Power (501-850W)
4.7,8.0,256.0,8.0,3200.0,Intel Core i3-1215U,Core i3,Intel UHD Graphics,DDR4,Microsoft Windows 11 Professional,Low_Power (0-200W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.3,6.0,1000.0,16.0,3200.0,Intel Core i5-10400,Core i5,NVIDIA GeForce RTX 3070 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.2,16.0,512.0,16.0,3200.0,Intel Core i7-13700,Core i7,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,Low_Power (0-200W)
5.6,12.0,2000.0,32.0,3200.0,AMD Ryzen 9 9900X,Ryzen 9,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.8,12.0,1024.0,32.0,3200.0,AMD Ryzen 9 5900X,Ryzen 9,NVIDIA GeForce RTX 3060,DDR4,FreeDOS,High_Power (501-850W)
4.9,8.0,1000.0,16.0,3200.0,Intel Core i7-11700F,Core i7,NVIDIA GeForce RTX 3070,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.6,8.0,1000.0,32.0,3200.0,AMD Ryzen 7 5700X,Ryzen 7,NVIDIA GeForce RTX 4060 Ti,DDR4,Microsoft Windows 11 Home,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
6.0,24.0,2000.0,64.0,3200.0,Intel Core i9-14900KF,Core i9,NVIDIA GeForce RTX 4070 Super,DDR4,Microsoft Windows 11 Home,High_Power (501-850W)
6.0,24.0,2000.0,64.0,6000.0,Intel Core i9-14900K,Core i9,NVIDIA GeForce RTX 4090,DDR5,Microsoft Windows 11 Professional,Very_High_Power (>850W)
4.2,6.0,1000.0,16.0,3200.0,AMD Ryzen 5 5500,Ryzen 5,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Home,High_Power (501-850W)
4.3,6.0,1000.0,16.0,3200.0,Intel Core i5-10400,Core i5,NVIDIA GeForce RTX 3060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.8,24.0,1000.0,32.0,3200.0,Intel Core i9-13900KF,Core i9,NVIDIA GeForce RTX 3070 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.3,6.0,1000.0,16.0,3200.0,Intel Core i5-10400,Core i5,NVIDIA GeForce RTX 3060 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,128.0,8.0,4800.0,Intel N100,Intel Celeron,Intel UHD Graphics,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
5.4,14.0,2000.0,32.0,3200.0,Intel Core i9-13900H,Core i9,Intel Iris Xe Graphics,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.2,16.0,1000.0,16.0,3200.0,Intel Core i7-13700F,Core i7,NVIDIA GeForce RTX 3070 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
3.3,8.0,1256.0,16.0,3200.0,Intel Core i5-8400T,Core i5,Intel UHD Graphics 630,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Intel Core i7-1185G7,Core i7,Intel Iris Xe Graphics,DDR4,ninguno,High_Power (501-850W)
4.3,4.0,256.0,8.0,2933.0,Intel Core i3-12100,Core i3,Intel UHD Graphics 730,DDR4,Microsoft Windows 10 Professional,Low_Power (0-200W)
4.2,4.0,256.0,8.0,3200.0,Intel Core i3-13100T,Core i3,Intel UHD Graphics 730,DDR4,Microsoft Windows 11 Professional,Low_Power (0-200W)
4.1,6.0,500.0,16.0,3200.0,AMD Ryzen 5 4500,Ryzen 5,NVIDIA GeForce RTX 3050,DDR4,Microsoft Windows 11 Home,High_Power (501-850W)
5.0,12.0,1000.0,16.0,3200.0,Intel Core i7-1360P,Core i7,Intel Iris Xe Graphics,DDR4,ninguno,Low_Power (0-200W)
4.7,10.0,2000.0,32.0,3200.0,Intel Core i5-14400F,Core i5,AMD Radeon RX 7900 GRE,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.8,24.0,1000.0,32.0,3200.0,Intel Core i9-13900KF,Core i9,NVIDIA GeForce RTX 3060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.6,8.0,1000.0,32.0,3200.0,AMD Ryzen 7 5700X,Ryzen 7,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Home,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics 770,DDR5,ninguno,Low_Power (0-200W)
4.8,8.0,1000.0,32.0,2666.0,Intel Core i7-10700F,Core i7,NVIDIA GeForce GT 710,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.8,14.0,512.0,8.0,3200.0,Intel Core i5-13500,Core i5,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.2,16.0,1000.0,16.0,3200.0,Intel Core i7-13700F,Core i7,NVIDIA GeForce RTX 3060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,32.0,3200.0,Intel Core i7-13700,Core i7,NVIDIA Quadro T1000,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,AMD Ryzen 5 5600G,Ryzen 5,NVIDIA GeForce GTX 1650,DDR4,ninguno,Medium_Power (201-500W)
4.5,14.0,1000.0,32.0,5600.0,Intel Core Ultra 5 125H,Intel Core Ultra 5,Intel Arc Graphics,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,32.0,3200.0,AMD Ryzen 5 5600G,Ryzen 5,AMD Radeon RX Vega,DDR4,Microsoft Windows 10 Home,Medium_Power (201-500W)
4.7,8.0,2000.0,256.0,3200.0,Unknown,Intel Xeon,NVIDIA RTX A6000,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.2,8.0,2000.0,32.0,3200.0,AMD Ryzen 7 9800X3D,Ryzen 7,NVIDIA GeForce RTX 4070,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.2,16.0,1000.0,16.0,3200.0,Intel Core i7-13700F,Core i7,NVIDIA GeForce RTX 3060 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.2,6.0,1000.0,32.0,3200.0,AMD Ryzen 5 5500,Ryzen 5,NVIDIA GeForce RTX 4070,DDR4,ninguno,High_Power (501-850W)
5.1,8.0,1000.0,16.0,5200.0,AMD Ryzen 7 8700G,Ryzen 7,NVIDIA GeForce RTX 4070 Ti Super,DDR5,Microsoft Windows 11 Home,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.2,8.0,2000.0,32.0,3200.0,AMD Ryzen 7 9800X3D,Ryzen 7,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.9,8.0,1000.0,16.0,3200.0,Intel Core i7-11700F,Core i7,NVIDIA GeForce RTX 3060 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
2.9,4.0,1000.0,32.0,2933.0,Intel Celeron N5105,Intel Celeron,Intel UHD Graphics,DDR4,FreeDOS,High_Power (501-850W)
4.1,6.0,1000.0,16.0,3200.0,AMD Ryzen 5 4500,Ryzen 5,NVIDIA GeForce RTX 3060 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
